Team,PTS
* --VANVancouver Canucks,117
z --WSHWashington Capitals,107
x --PITPittsburgh Penguins,106
y --PHIPhiladelphia Flyers,106
y --SJSan Jose Sharks,105
y --DETDetroit Red Wings,104
y --BOSBoston Bruins,103
x --TBTampa Bay Lightning,103
x --ANAAnaheim Ducks,99
x --NSHNashville Predators,99
x --PHXArizona Coyotes,99
x --LALos Angeles Kings,98
x --CHIChicago Blackhawks,97
x --MTLMontreal Canadiens,96
x --BUFBuffalo Sabres,96
e --DALDallas Stars,95
e --CGYCalgary Flames,94
x --NYRNew York Rangers,93
e --CARCarolina Hurricanes,91
e --STLSt. Louis Blues,87
e --MINMinnesota Wild,86
e --TORToronto Maple Leafs,85
e --NJNew Jersey Devils,81
e --CBJColumbus Blue Jackets,81
e --ATLWinnipeg Jets,80
e --OTTOttawa Senators,74
e --NYINew York Islanders,73
e --FLAFlorida Panthers,72
e --COLColorado Avalanche,68
e --EDMEdmonton Oilers,62
