Team,PTS
* --TBTampa Bay Lightning,128
z --CGYCalgary Flames,107
x --BOSBoston Bruins,107
y --WSHWashington Capitals,104
x --NYINew York Islanders,103
x --SJSan Jose Sharks,101
x --TORToronto Maple Leafs,100
y --NSHNashville Predators,100
x --PITPittsburgh Penguins,100
x --WPGWinnipeg Jets,99
x --CARCarolina Hurricanes,99
x --STLSt. Louis Blues,99
x --CBJColumbus Blue Jackets,98
e --MTLMontreal Canadiens,96
x --DALDallas Stars,93
x --VGKVegas Golden Knights,93
x --COLColorado Avalanche,90
e --ARIArizona Coyotes,86
e --FLAFlorida Panthers,86
e --CHIChicago Blackhawks,84
e --MINMinnesota Wild,83
e --PHIPhiladelphia Flyers,82
e --VANVancouver Canucks,81
e --ANAAnaheim Ducks,80
e --EDMEdmonton Oilers,79
e --NYRNew York Rangers,78
e --BUFBuffalo Sabres,76
e --DETDetroit Red Wings,74
e --NJNew Jersey Devils,72
e --LALos Angeles Kings,71
e --OTTOttawa Senators,64
