TEAM,AVG,PTS,Year,SeasonPtsRank
Montreal,20672,77,2003,10.0
Detroit,20058,110,2003,27.0
Philadelphia,19325,107,2003,25.0
St. Louis,18570,99,2003,22.0
Dallas,18532,111,2003,28.0
Minnesota,18500,95,2003,20.5
Vancouver,18396,104,2003,23.0
NY Rangers,18148,78,2003,12.0
Colorado,18007,105,2003,24.0
Columbus,17744,69,2003,3.0
Los Angeles,17569,78,2003,12.0
San Jose,17350,73,2003,6.0
Ottawa,17198,113,2003,29.0
Edmonton,16657,92,2003,17.5
Tampa Bay,16545,93,2003,19.0
Calgary,16239,75,2003,9.0
Washington,15787,92,2003,17.5
Carolina,15682,61,2003,1.0
Florida,15428,70,2003,4.0
Boston,15029,87,2003,16.0
NY Islanders,14930,83,2003,15.0
New Jersey,14858,108,2003,26.0
Chicago,14794,79,2003,14.0
Pittsburgh,14750,65,2003,2.0
Anaheim,13988,95,2003,20.5
Buffalo,13776,72,2003,5.0
Winnipeg,13476,74,2003,7.5
Arizona,13229,78,2003,12.0
Nashville,13228,74,2003,7.5
Montreal,20555,93,2004,18.0
Detroit,20066,109,2004,29.0
Philadelphia,19375,101,2004,23.5
Vancouver,18630,101,2004,23.5
St. Louis,18560,91,2004,16.0
Minnesota,18530,83,2004,12.0
Dallas,18355,97,2004,20.0
NY Rangers,18080,69,2004,6.0
Colorado,18007,100,2004,21.5
Los Angeles,17889,81,2004,11.0
Tampa Bay,17820,106,2004,28.0
Ottawa,17758,102,2004,25.0
Edmonton,17677,89,2004,14.0
Columbus,17369,62,2004,4.0
Calgary,16579,94,2004,19.0
Florida,15936,75,2004,7.0
San Jose,15835,104,2004,26.5
Arizona,15467,68,2004,5.0
Buffalo,15290,85,2004,13.0
Boston,15133,104,2004,26.5
Winnipeg,15121,78,2004,10.0
New Jersey,15059,100,2004,21.5
Anaheim,14987,76,2004,8.5
Washington,14720,59,2004,2.5
NY Islanders,13693,91,2004,16.0
Chicago,13253,59,2004,2.5
Nashville,13157,91,2004,16.0
Carolina,12330,76,2004,8.5
Pittsburgh,11877,58,2004,1.0
Montreal,21273,93,2006,15.0
Tampa Bay,20509,92,2006,13.5
Detroit,20064,124,2006,29.0
Philadelphia,19653,101,2006,21.5
Ottawa,19474,113,2006,28.0
Calgary,19289,103,2006,23.0
Vancouver,18630,92,2006,13.5
Minnesota,18575,84,2006,9.0
NY Rangers,18142,100,2006,20.0
Colorado,18007,95,2006,16.5
Los Angeles,17839,89,2006,11.0
Dallas,17828,112,2006,26.5
Buffalo,16886,110,2006,25.0
Edmonton,16832,95,2006,16.5
San Jose,16831,99,2006,19.0
Columbus,16796,74,2006,5.5
Boston,16211,74,2006,5.5
Florida,16014,85,2006,10.0
Pittsburgh,15804,58,2006,2.0
Carolina,15596,112,2006,26.5
Arizona,15582,81,2006,8.0
Winnipeg,15550,90,2006,12.0
Anaheim,15131,98,2006,18.0
Nashville,14428,106,2006,24.0
New Jersey,14230,101,2006,21.5
St. Louis,14213,57,2006,1.0
Washington,13905,70,2006,4.0
Chicago,13318,65,2006,3.0
NY Islanders,12609,78,2006,7.0
Montreal,21273,90,2007,12.0
Detroit,20066,113,2007,28.5
Tampa Bay,19876,93,2007,14.0
Ottawa,19372,105,2007,21.0
Calgary,19289,96,2007,17.0
Philadelphia,19282,56,2007,1.0
Buffalo,18690,113,2007,28.5
Vancouver,18630,105,2007,21.0
Minnesota,18543,104,2007,19.0
NY Rangers,18200,94,2007,15.0
Dallas,17914,107,2007,24.0
Colorado,17612,95,2007,16.0
San Jose,17422,107,2007,24.0
Carolina,17386,88,2007,11.0
Los Angeles,16859,68,2007,3.0
Edmonton,16839,71,2007,5.5
Pittsburgh,16424,105,2007,21.0
Columbus,16401,73,2007,7.0
Anaheim,16389,110,2007,26.5
Winnipeg,16240,97,2007,18.0
